poisonous,convex,smooth,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
edible,convex,smooth,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
edible,bell,smooth,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
poisonous,convex,scaly,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
edible,convex,smooth,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
edible,convex,scaly,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
edible,bell,smooth,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
edible,bell,scaly,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
poisonous,convex,scaly,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
edible,bell,smooth,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
edible,convex,scaly,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
edible,convex,scaly,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
edible,bell,smooth,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
poisonous,convex,scaly,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
edible,convex,fibrous,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
edible,sunken,fibrous,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
edible,flat,fibrous,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
poisonous,convex,smooth,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
poisonous,convex,scaly,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
poisonous,convex,smooth,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
edible,bell,smooth,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
poisonous,convex,scaly,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
edible,bell,scaly,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
edible,bell,scaly,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
edible,bell,smooth,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
poisonous,flat,smooth,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
edible,convex,scaly,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
edible,convex,scaly,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
edible,flat,fibrous,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
edible,convex,smooth,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
edible,bell,smooth,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
poisonous,convex,scaly,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
edible,convex,scaly,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
edible,convex,scaly,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
edible,bell,scaly,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
edible,convex,fibrous,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
edible,sunken,fibrous,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
poisonous,convex,scaly,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
edible,convex,fibrous,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
edible,bell,smooth,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
edible,bell,scaly,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
edible,convex,scaly,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
edible,convex,fibrous,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
poisonous,convex,scaly,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
edible,convex,smooth,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
edible,convex,scaly,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
edible,convex,scaly,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
edible,convex,smooth,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
edible,convex,scaly,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
edible,flat,scaly,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p
edible,convex,scaly,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
edible,convex,smooth,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
